POU1HjdXziM,Gurdeep Parhar
FsSKVSf1EJk,Nigel Turvey
mGS7sGyRjqE,Steffin Johnson
iunmpgOnpqM,Adria Goodson
UoXSYihVSew,Margaret Stewart
yJJtRWFLSgw,Brian Kateman
2xKXLPuju8U,Stan Tatkin
gBkIyJ7kfSI,Jean Kummerow
uHs2Auz5s6w,Brianna Miller
9HJ5deGu2vc,BURn
wMsOYqJ4ShA,Raj Krishnan
LkOmfSSQLgI,Bisan Abdulkader
ttRhMPgpoOQ,KÄrlis Bardelis
rpOwTspdwkI,Chris McKnett
MrEuta9GPGM,Heather Himmelberger
dC7y9qB3tcA,Klaus Gebel
2PR51JQkib4,Jeff Lynass
qtcWebAYmKY,Zahra' Langhi
0TOkvcqeVQY,Brooke Ignet Hocker
TzNSuIVkfjg,Dan Dennett
gh5VhaicC6g,Joanne Davila
x7pqySWHOn8,Lizzi Juda & Lulu Delphine
Sd7lvPpDDUg,Prosanta Chakrabarty
r55a0FapF2M,Jack Andraka
XYNUpQrZISc,Jeremy Kasdin
cnxEP6bzg7o,Marcus Shaffer
qGSYmIPFO68,Siddhartha Mukherjee
Pr57T0RaSjc,Lucy May Schofield
k5tCYg9s0HU,Anand Giridharadas
ElJxUVJ8blw,Jackson Katz
sAUIAChAmc4,Ian Usher
3UaOl8SYHes,Scott Fearing
Gv7Y0W0xmYQ,Malte Spitz
eZgSGgToBEE,Tereza Hendl
w2mJMS09Qjk,Eiso Vaandrager
MqnbE5WRPEU,Pierre Dulaine
D4cV8yfgNyI,Brian Miller
z5lZ9wciZQM,Jonathan Harris
mSASZGgHy0g,Mark Stewart
1sgb2cUqFiY,Belisa Vranich
iyfdWsa1zns,Nirmalya Kumar
LnnyuVG0krs,Robert Gardner
yoAqA6vgnCQ,Anna Ray Ziegler
y8ZMviYx9aY,Josh Plotnik
TqxxCYnAxo8,Preetha ji
MgOVOCUuScE,Camille Seaman
eS44GSkE8lE,Michael Dickinson
zvvZEIGNLo0,Dr Brendan Rooney
QogTFXqFhMw,Wil Konings
bRQahFJUSJQ,Herman  J. P. Portocarero
Kc0Kthyo0hU,CÃ©dric Villani
YO0lbdhF30g,Michael Douglas
1Hok1iGFNSk,Rasheed Noreldaim
F7oT1gXo5eA,Sam Martin
LI8ix9IghkY,Karen Bass
